DATE,CPILFESL
2002-01-01,188.7
2002-02-01,189.1
2002-03-01,189.2
2002-04-01,189.7
2002-05-01,190.0
2002-06-01,190.2
2002-07-01,190.5
2002-08-01,191.1
2002-09-01,191.3
2002-10-01,191.5
2002-11-01,191.9
2002-12-01,192.1
2003-01-01,192.400
2003-02-01,192.5
2003-03-01,192.5
2003-04-01,192.5
2003-05-01,192.9
2003-06-01,193.0
2003-07-01,193.4
2003-08-01,193.6
2003-09-01,193.7
2003-10-01,194.0
2003-11-01,194.0
2003-12-01,194.200
2004-01-01,194.600
2004-02-01,194.9
2004-03-01,195.5
2004-04-01,195.9
2004-05-01,196.2
2004-06-01,196.600
2004-07-01,196.8
2004-08-01,196.9
2004-09-01,197.5
2004-10-01,197.9
2004-11-01,198.3
2004-12-01,198.600
2005-01-01,199.0
2005-02-01,199.400
2005-03-01,200.100
2005-04-01,200.200
2005-05-01,200.5
2005-06-01,200.6
2005-07-01,200.9
2005-08-01,201.100
2005-09-01,201.300
2005-10-01,202.0
2005-11-01,202.5
2005-12-01,202.800
2006-01-01,203.2
2006-02-01,203.6
2006-03-01,204.300
2006-04-01,204.800
2006-05-01,205.400
2006-06-01,205.900
2006-07-01,206.300
2006-08-01,206.800
2006-09-01,207.200
2006-10-01,207.6
2006-11-01,207.800
2006-12-01,208.1
2007-01-01,208.600
2007-02-01,209.135
2007-03-01,209.418
2007-04-01,209.747
2007-05-01,210.058
2007-06-01,210.392
2007-07-01,210.773
2007-08-01,211.119
2007-09-01,211.554
2007-10-01,212.077
2007-11-01,212.660
2007-12-01,213.168
2008-01-01,213.771
2008-02-01,213.939
2008-03-01,214.420
2008-04-01,214.560
2008-05-01,214.936
2008-06-01,215.424
2008-07-01,215.965
2008-08-01,216.393
2008-09-01,216.713
2008-10-01,216.788
2008-11-01,216.947
2008-12-01,216.925
2009-01-01,217.346
2009-02-01,217.792
2009-03-01,218.253
2009-04-01,218.706
2009-05-01,218.904
2009-06-01,219.112
2009-07-01,219.263
2009-08-01,219.496
2009-09-01,219.920
2009-10-01,220.501
2009-11-01,220.666
2009-12-01,220.881
2010-01-01,220.633
2010-02-01,220.731
2010-03-01,220.783
2010-04-01,220.822
2010-05-01,220.962
2010-06-01,221.194
2010-07-01,221.363
2010-08-01,221.509
2010-09-01,221.711
2010-10-01,221.830
2010-11-01,222.149
2010-12-01,222.343
2011-01-01,222.803
2011-02-01,223.213
2011-03-01,223.454
2011-04-01,223.727
2011-05-01,224.175
2011-06-01,224.697
2011-07-01,225.218
2011-08-01,225.862
2011-09-01,226.118
2011-10-01,226.506
2011-11-01,226.899
2011-12-01,227.405
2012-01-01,227.877
2012-02-01,228.034
2012-03-01,228.478
2012-04-01,228.905
2012-05-01,229.224
2012-06-01,229.623
2012-07-01,229.970
2012-08-01,230.233
2012-09-01,230.659
2012-10-01,231.024
2012-11-01,231.330
2012-12-01,231.725
2013-01-01,232.229
2013-02-01,232.569
2013-03-01,232.794
2013-04-01,232.832
2013-05-01,232.996
2013-06-01,233.350
2013-07-01,233.880
2013-08-01,234.336
2013-09-01,234.700
2013-10-01,234.921
2013-11-01,235.359
2013-12-01,235.759
2014-01-01,235.961
2014-02-01,236.185
2014-03-01,236.625
2014-04-01,237.072
2014-05-01,237.529
2014-06-01,237.837
2014-07-01,238.195
2014-08-01,238.405
2014-09-01,238.786
2014-10-01,239.191
2014-11-01,239.458
2014-12-01,239.584
2015-01-01,239.825
2015-02-01,240.141
2015-03-01,240.739
2015-04-01,241.337
2015-05-01,241.628
2015-06-01,242.036
2015-07-01,242.504
2015-08-01,242.790
2015-09-01,243.324
2015-10-01,243.786
2015-11-01,244.330
2015-12-01,244.610
2016-01-01,245.108
2016-02-01,245.684
2016-03-01,245.986
2016-04-01,246.477
2016-05-01,247.018
2016-06-01,247.431
2016-07-01,247.763
2016-08-01,248.384
2016-09-01,248.742
2016-10-01,249.103
2016-11-01,249.599
2016-12-01,250.029
2017-01-01,250.629
2017-02-01,251.065
2017-03-01,250.873
2017-04-01,251.106
2017-05-01,251.330
2017-06-01,251.689
2017-07-01,251.992
2017-08-01,252.580
2017-09-01,252.979
2017-10-01,253.534
2017-11-01,253.887
2017-12-01,254.445
2018-01-01,255.218
2018-02-01,255.662
2018-03-01,256.144
2018-04-01,256.420
2018-05-01,256.906
2018-06-01,257.327
2018-07-01,257.876
2018-08-01,258.087
2018-09-01,258.496
2018-10-01,259.002
2018-11-01,259.610
2018-12-01,260.078
2019-01-01,260.701
2019-02-01,260.989
2019-03-01,261.374
2019-04-01,261.735
