,Portfolio 1,Portfolio 2,Portfolio 3,Portfolio 4,Portfolio 5,Portfolio 6,Portfolio 7,Portfolio 8,Portfolio 9,Portfolio 10
EEM units,42.11195044694851,290.50215174674787,434.2676549141001,417.6183924595288,543.7902081262692,657.2720934839961,747.2203185521801,758.9551331140219,958.9578561463251,1175.7147344236284
EFA units,0.27331579504189674,4.777916781406289e-06,2.9678256737523956,98.07595313480957,83.81201380799561,80.46657741153251,88.27111035656765,132.9266224057125,88.46679256481792,1.0307031571311786e-12
IYR units,26.41166682142394,53.96854149370731,33.22552185853063,0.40476285349774077,0.22738720200284526,4.5685243514828015e-06,0.003340581040109428,38.68574096698193,0.023995162900004943,2.162884217515337e-11
LQD units,133.16459995397076,115.40064131986665,105.07517567975414,83.04135772573164,68.22061381588907,51.623508556019985,34.100762313114885,4.206553609601234e-07,8.042577330943526e-12,4.3019048642197666e-21
VTI units,67.20470320794527,11.039910111868044,0.509415125305174,1.4732418482911355e-08,0.4002210376051754,2.0869389505668094e-06,1.062659476826674e-08,0.0009861588446363873,0.0001334059019121006,3.0723126563855775e-08
Max,1.9391580439839755,1.913146917178831,1.894505067485793,1.8790401755453463,1.9847247554377885,2.1228007675055833,2.2311157804000143,2.3062127085889585,2.4621923657997087,2.6687472801279397
Mean,1.2955679110538159,1.2821175971399261,1.2895733069426223,1.2494286091182543,1.283641712862373,1.3088993918776202,1.32615332159117,1.339300715103225,1.3649047261992389,1.4133953455920794
Min,1.116526819369394,1.0284984631442258,0.9688637637581158,0.9234044258722718,0.9110324124093893,0.8987469543370566,0.8885164517551746,0.8882511468158306,0.8731931334486275,0.8755080604896583
75 Quantile,1.3012000849090117,1.4384272744870092,1.5064192884879848,1.4659531856634231,1.5364623987735533,1.5888907084341546,1.6268353358751626,1.6650932566032646,1.7047451438400254,1.7917222413986944
50 Quantile,1.255392331481652,1.2127324389483487,1.1999673195412381,1.1407616551341322,1.1523879576901246,1.1567351579728777,1.153178568815986,1.146769390435515,1.156214190908119,1.1847970018410878
25 Quantile,1.2150764011439559,1.1184984969789213,1.0812238596916939,1.0304934316855572,1.0288887673577722,1.0245696739583565,1.017958477955558,1.0137418576147468,1.011231062206434,1.0311918212391242
