,Portfolio 1,Portfolio 2,Portfolio 3,Portfolio 4,Portfolio 5,Portfolio 6,Portfolio 7,Portfolio 8,Portfolio 9,Portfolio 10
EEM units,129.05901416762245,258.5747808545448,391.6233528257217,416.62920782958116,560.5343996479448,687.3381813548538,733.5761261438647,904.7960107992416,1048.0236998362104,1175.7147344443943
EFA units,0.09714035235458016,0.07662025603378593,5.516266230947197,10.560043184499913,4.725169522122431,6.51180580362014e-10,21.364525753217247,0.0002964342867688506,0.0007267504374651973,1.209690439472963e-12
IYR units,114.10565639375417,166.1919683393556,140.26147180072965,207.0401812000861,172.52891694649617,151.69000010686108,165.39359965702087,114.98056437852077,54.19271642718696,9.57968404412437e-12
LQD units,124.91604872316921,84.40119157291635,70.70160605759918,39.42202930342533,31.648854233406407,21.039430882122083,0.0167916936866889,5.763060989633162e-10,4.347432847343844e-14,2.769332523862453e-10
VTI units,2.4847115367159398e-18,1.6306729791782602e-06,3.7094143477447326e-06,1.1225641631393564e-06,0.024596809988767038,1.6499486589039243e-06,8.900886993984647e-06,8.255107646008654e-10,7.979844949746699e-07,2.448016812609646e-08
Max,22540.82894443529,27705.948446878232,31122.998440849224,34043.01306287356,37463.20667271244,40766.38546615022,43229.44276101968,46615.22157366738,49339.296847858124,51759.30121567127
Mean,18852.0250685642,23071.013736759985,25406.24902274842,27782.750129169894,29894.568259422962,31984.96970278039,33707.01136973922,35644.568140815514,37052.563099026,38290.83434910414
Min,15097.454832624375,18586.803842009343,20645.63795846635,22267.567631205122,23390.111412526996,24487.695014078545,25512.710906370554,26247.433992833256,26595.783370483077,26882.437195335795
75 Quantile,20848.7310862702,25662.50445509966,28203.294982259547,30979.538377663084,33296.53677042819,35553.300671406185,37525.31965988148,39485.78644794099,40716.96524733809,41894.952331064014
50 Quantile,18636.9513655504,22528.122749615974,24760.29430558282,27087.894656847864,29133.99855851966,31118.743855087934,32780.05010782504,34652.20388722397,36123.835976020615,37443.46016730919
25 Quantile,17318.52526301582,21158.389218735505,23374.00043064324,25472.393924233922,27264.83747983905,29033.916213409302,30573.844547067372,32291.14803539623,33660.64293785337,34828.1604985852
