,Portfolio 1,Portfolio 2,Portfolio 3,Portfolio 4,Portfolio 5,Portfolio 6,Portfolio 7,Portfolio 8,Portfolio 9,Portfolio 10
EEM units,0.002779857162763861,2.7262780422298472e-15,69.3129501964337,169.51419334038528,298.8448562853786,365.56890961631944,590.0704716274884,812.6647992252093,1005.251995628591,1175.7147344477187
EFA units,0.17491522204362975,106.65629865947643,146.94569664464308,112.44882039898674,112.19936364186228,161.6562169155301,89.4044899777451,9.4634327789999,1.0413770978544168e-11,3.5283273175956156e-08
IYR units,0.16202933717985935,62.5519502449043,79.27891281761954,151.9233034384175,148.57360071479025,162.120132020455,150.75489979998775,143.7918951503259,72.34613262300802,7.282515697585676e-12
LQD units,145.62511635451372,108.03120342537959,84.08685767287658,59.88738616750334,40.47873893712836,5.162813539014047,1.5198925862330048,0.0031665772450173582,3.346355895263535e-05,6.7207337887549375e-12
VTI units,74.60822429468948,26.29741087526624,10.074484972549161,0.0040584232057365435,2.9497061691424656e-06,0.011870866181250078,0.5494707122269893,0.29073686072858557,2.07627645200058e-05,4.622082089823531e-12
Max,1.822005465837576,1.9590124599518741,2.059891335589779,2.35860615686779,2.4258516254947193,2.6013720825123094,2.5723892385665628,2.5637483046721656,2.437413699895995,2.3219459289905306
Mean,1.3472334475649161,1.2081124260493525,1.172840638056188,1.2171329845841712,1.218476104473815,1.214603607251748,1.2300046182071638,1.2447131637050892,1.2133847601948098,1.1836529081194487
Min,1.1946260337666226,1.0171256705443885,0.9707252974604755,0.968823709891043,0.9733468776015411,0.9515356214355649,0.9459740990074968,0.9380742977398604,0.9042892967220733,0.8755080604599432
75 Quantile,1.3832580000407675,1.2287768646202282,1.1797742614672893,1.2104964339304556,1.2030263663760463,1.1908338148386872,1.2063706953678466,1.2302061625637124,1.2155973716667587,1.199993202798593
50 Quantile,1.3008806767085024,1.14373321259603,1.0983635769841842,1.1226325490989093,1.111659611329096,1.0936876257346773,1.1062275406365856,1.118468354179653,1.0972763565833819,1.0733414841207563
25 Quantile,1.2475294675713244,1.0920072189807475,1.0320496716362269,1.0424143690020127,1.0321162803272574,1.0079903660088283,1.0270530024687439,1.0414279404449545,1.0271444999631423,1.0109673284864098
