,Portfolio 1,Portfolio 2,Portfolio 3,Portfolio 4,Portfolio 5,Portfolio 6,Portfolio 7,Portfolio 8,Portfolio 9,Portfolio 10
EEM units,5.6140531051686805e-06,152.22802301736496,242.96038743488515,89.4658973231113,194.92640428446103,320.6727931264671,592.0861874530204,852.8549011210248,1015.5868969298947,1175.7147345266064
EFA units,6.386396072912835e-08,17.10047965689122,67.21884587125045,193.6907491193978,198.35254124551142,211.18595751451977,119.6601898649884,4.3690592322406404e-05,3.0541452288190927,3.0996452457134176e-11
IYR units,2.9148772982628675,94.59123342781406,60.11060520690739,136.92294580730336,151.12020141927792,142.87515786276393,123.29993972582963,136.97728030329955,64.50918349739423,9.326603723608017e-15
LQD units,137.89845133362252,121.88958206647793,91.55103607933252,46.397410685666266,22.21115339129895,6.8336151861970765e-06,2.1354405409391796e-05,0.017699944783578,8.269045749208562e-15,1.2107787508335237e-09
VTI units,86.29304785277547,1.264775591218961e-09,15.729535479073123,0.1042206487006859,0.1654284174182958,0.30500659294412125,5.228289507373228e-10,0.0007612522571325467,0.18058028275593088,4.2035677583459873e-13
Max,1.9194382482663344,1.916853712410026,2.0312155544435666,2.3690948378037064,2.5193114778977614,2.5697153972029305,2.5012504878820834,2.556122740831372,2.422354545036168,2.3219459290114655
Mean,1.3296830219792184,1.2110397274798987,1.2111925868512667,1.176607172190996,1.196429346668652,1.2014548222877566,1.2287844537491237,1.269832354592584,1.2452223073465485,1.2265466376081318
Min,1.127665906835521,1.0401650285933814,1.0127423260299087,0.9275634943141653,0.9312045074426315,0.9324758084649217,0.9297166758546576,0.9340466191714127,0.9011396443355859,0.8755080604611867
75 Quantile,1.3736192873377764,1.2312487651078772,1.235321790810752,1.2183072086445912,1.2305044801597724,1.2338516012897172,1.2639061905207667,1.3049255945237035,1.289503517100482,1.28295593213614
50 Quantile,1.2845401341438203,1.1639749176678562,1.15196626229562,1.098545485446269,1.1050263256466237,1.0976096390861005,1.1230002822081815,1.1526201202001984,1.124029034436469,1.1052230743693099
25 Quantile,1.2278804069307758,1.107557380851813,1.0738804823663326,1.023382541321896,1.016697709373752,1.0026827527942173,1.020008359259019,1.0481867838461632,1.0303055893322188,1.0175877427308335
