,Portfolio 1,Portfolio 2,Portfolio 3,Portfolio 4,Portfolio 5,Portfolio 6,Portfolio 7,Portfolio 8,Portfolio 9,Portfolio 10
EEM units,55.127974660208366,294.9740549818888,436.6969227654247,385.9844634674248,529.20758880633,621.4997515667128,733.2685887450456,758.8103451757497,957.713913120573,1175.7147345320764
EFA units,1.0117205736970656e-05,0.985233789453391,0.00038345964979640673,112.54223539860175,93.99803525470763,89.82572791883094,96.41817690211978,131.12843393036917,88.92302201798714,8.661622520663614e-10
IYR units,30.254118076415722,59.78845268518829,36.13013006296447,16.1645815612702,9.706100512297957e-05,39.7679471566838,0.048502263574505794,40.459615069991095,0.0011546144782552449,8.831836311737251e-13
LQD units,135.91012306975804,118.47267779930561,104.28551764525518,75.83260897516608,66.83352498153289,38.40700349046238,33.11900459315166,0.0014536022199369085,0.029030241327328874,7.848313245681057e-13
VTI units,56.50677231220341,4.497143984469357e-17,1.3184969672921536,1.0943557410651654,0.06714427989696586,0.39299282488057824,4.355515875959914e-05,0.10126667585428455,7.505456020369787e-12,4.443752798723653e-12
Max,1.625570630434479,1.664899541206161,1.7146021064617656,1.7500399598753553,1.787583771324409,1.9938739655240645,1.998719203750713,2.145469893641693,2.251327778687772,2.459420184301065
Mean,1.057735032422598,1.102594042900224,1.1457873102127805,1.1092326093589664,1.14918897812124,1.1992430562387977,1.2090130631794105,1.2322748869023594,1.2639039493517843,1.317999516122317
Min,0.9049420262975482,0.8906439078567829,0.8676684740464097,0.8310323620361161,0.8227065631299417,0.8330625936211858,0.8158322952884148,0.8209139903238962,0.8119961933685692,0.8196786348954509
75 Quantile,1.0661691771597486,1.2272589683763988,1.3292184567465337,1.2946764753427857,1.3670103997239818,1.4543350306293583,1.483745647090969,1.5283292551237488,1.5784084779045697,1.6684910721505881
50 Quantile,1.0203207265080532,1.0460186524766242,1.0669065902568622,1.0155450085294824,1.035249977073928,1.0590830870966614,1.056238576240077,1.0579716840314293,1.0745035416097937,1.1071817550810052
25 Quantile,0.9855796695362761,0.9667756353488016,0.9660385798480577,0.9188821990583687,0.927563965442852,0.9427278301181006,0.9330993440591231,0.9355710802912753,0.9396507869172724,0.9642189220172118
