,Portfolio 1,Portfolio 2,Portfolio 3,Portfolio 4,Portfolio 5,Portfolio 6,Portfolio 7,Portfolio 8,Portfolio 9,Portfolio 10
EEM units,123.87097723489518,257.98481404908193,363.7392668734339,456.95565595890713,550.1417006190524,673.2003088545334,746.1566447404269,904.9241856802721,1048.0648120687933,1175.714734533984
EFA units,5.019450351245746e-06,25.0089629272216,4.629893850654034e-09,4.359377639656825e-05,34.59145219505586,0.051139873908686136,20.935105300667217,0.0006984405440017776,0.07961346455484981,8.289747952544374e-13
IYR units,113.2994854282244,140.28738614900175,179.21437486813082,182.16727639916047,135.97296057918987,163.75589240829964,155.34620789646044,114.82706759796781,54.09324755750776,4.4019068279852946e-14
LQD units,126.08833932660178,84.49028820248266,62.60722143496708,46.514115480270945,35.41724130971769,18.72330386463383,1.9406232914346822,3.368285518245736e-05,2.6156415180427396e-06,3.772342252721055e-11
VTI units,0.007880499029330648,8.220702197254278e-06,5.581259488978089e-08,3.863820851205656e-05,3.3963830851846012e-06,1.5470599270178303e-17,0.04722105949717899,0.06456559185643246,2.8302676968592916e-06,1.933942788378105e-16
Max,19522.035574998637,24323.323673865016,28041.1956692857,31080.141021855194,33572.595664968874,37413.288754089204,40029.86456110093,43337.60824829898,46066.2645912794,48489.63208052088
Mean,15820.093368865115,19976.958807439176,22867.41582170839,25004.328095002966,26474.99310667318,29254.87720928638,30977.71880057475,32975.74244421234,34440.97634797347,35725.49667347616
Min,12095.140947573907,15799.817247549352,18000.900281203365,19783.54577867673,20695.943021556257,22484.0114348895,23419.540721135363,24315.098331445053,24761.215793517647,25127.113149847934
75 Quantile,17831.683196149905,22469.271387680044,25756.31877126541,28098.85779337624,29613.266513009,32805.05691517036,34681.020167586204,36744.72942531097,38155.925894148895,39299.81586668091
50 Quantile,15720.323822286198,19433.116836019926,22200.037572298435,24275.769990588393,25671.64510678329,28374.357415307477,29999.248680353616,31944.026859089667,33426.2453738606,34800.08654570996
25 Quantile,14273.955251385094,18182.151583415543,20798.39823749873,22769.32531802802,24081.65153544777,26471.38917371358,27944.25451452138,29667.559142337173,31072.307831100905,32322.289003925198
