,Portfolio 1,Portfolio 2,Portfolio 3,Portfolio 4,Portfolio 5,Portfolio 6,Portfolio 7,Portfolio 8,Portfolio 9,Portfolio 10
EEM units,1.0067311734902544e-09,0.004800224065274979,170.92638810949612,243.6416146469362,187.1300597425398,339.3838692542677,591.9269429917688,814.6810542861119,1005.2653866893447,1175.714734043063
EFA units,1.2559530030578136e-05,127.73326966807785,36.92009822733632,115.84098233189918,206.436817338178,148.33796230181622,68.60830278306815,3.433007032894211e-08,1.2580985978228063e-10,8.272872657176663e-09
IYR units,4.738245320056064e-05,55.930585612369136,122.41367082935916,80.11902843653372,137.45794922427174,196.8479211790798,175.68569565286518,153.2266467010425,72.33017728215191,1.114723666078466e-11
LQD units,145.93799993950353,117.44278000546093,100.54279193270007,73.55300495838404,25.40114548146181,1.4703261468464348,6.615437924151076e-05,4.2729294948756585e-17,0.0006462768744481664,2.3207418688291833e-11
VTI units,74.29283821550591,4.055236470404614e-15,0.020760320945875863,0.4724459067951557,0.2566792824720946,0.002652852613888185,0.4944946698222114,9.387244012698053e-14,0.005687520950969393,1.3083245288886342e-07
Max,1.5374680160721035,1.515985361999818,1.846127819085642,1.8687292494606145,2.2105927266000895,2.4933264655447314,2.445636898499644,2.4094538429014576,2.2778398574757377,2.1791125306015338
Mean,1.1074874110247068,0.9542571059156468,1.0679934825095927,1.0387906445310398,1.0507480650113215,1.1190492988981193,1.145241031498595,1.1591001474937286,1.1312887151317514,1.1087013822911163
Min,0.9661835500845126,0.8089822243666634,0.8811491721557432,0.8616459716925733,0.822795760566616,0.8588276888584399,0.8784471262288049,0.8723955077110167,0.8426252647124415,0.8196786349994727
75 Quantile,1.1460299503012465,0.963337864082373,1.067246050136772,1.0329268140077317,1.044137324094011,1.09486472151305,1.1184314739751569,1.1435826469343877,1.1305212304987327,1.1218085807473666
50 Quantile,1.0625803426124336,0.908816011098507,1.003112874201141,0.9633537275399751,0.9547209602774026,1.0017931705687912,1.0268778230213234,1.039227342037262,1.0220691180164785,1.0040980584259154
25 Quantile,1.0074944125036291,0.8696518322557553,0.9446886016445541,0.9026145164374808,0.8792634399396595,0.9195896946155885,0.9506220383983476,0.967503049592773,0.9558926831780504,0.9463354978383658
