,Portfolio 1,Portfolio 2,Portfolio 3,Portfolio 4,Portfolio 5,Portfolio 6,Portfolio 7,Portfolio 8,Portfolio 9,Portfolio 10
EEM units,4.80596619090959e-08,100.5516354325277,226.58968966076478,220.10776224395892,115.10683950201549,344.78354581921445,604.309447792195,838.887872085454,1015.2305697168003,1175.7147333836551
EFA units,6.446138926397914e-06,66.48793260965518,52.497360060209566,163.48250755393286,250.6887332730898,176.1271036108726,99.15094849597752,28.95653033428432,1.4152119466678943,4.546441009656223e-07
IYR units,12.998999941940388,78.06745393169832,103.73983104656577,63.30423273765957,138.85421457377967,168.76663492398953,139.43362858268802,112.8498799485253,66.63237044921837,3.7991719756071876e-11
LQD units,139.1480804348539,116.16186685452644,92.55108199175264,60.434401049244066,19.17777085695726,0.24515949882505744,1.6029249817257229e-09,4.628824095029642e-06,0.002882945723214089,2.3337015047214355e-30
VTI units,77.52716552342511,1.4697860851862714,1.2877911301002752e-07,8.286385015522319,3.057221434207562e-10,0.09222117997994166,1.5400998820798448e-05,5.6720932639792076e-08,1.1330408816565006e-07,1.0234566123974542e-08
Max,17476.583907908345,18998.50813796667,22890.025091193816,24804.46503769719,25298.25166003446,31611.104309429393,37052.87366917454,41921.944933887484,45433.994970350584,48489.632056465176
Mean,14268.171222080293,16440.924526965548,19671.340321039443,20722.073769170624,21518.110957334226,26184.246045782478,29733.980866001188,32843.62954057038,34827.33994620333,36300.845869205936
Min,11403.038124795406,13620.070549102888,15823.394955715483,16307.417786568774,16829.8911453776,19856.253662023817,22029.6841994727,23756.82010558693,24646.407941905454,25127.113141102687
75 Quantile,15911.54361221246,17856.260252193344,21554.87372000886,22939.637634815335,23711.784281853586,29146.48258052148,33277.91482383948,36913.827847560715,39175.128502330816,40895.73078350897
50 Quantile,14193.766732571201,16366.374305757277,19594.79167372908,20539.313727383374,21310.456035646006,26007.632314125563,29566.94872162919,32706.900574121428,34770.85548918193,36458.05108540821
25 Quantile,12637.303176475902,15074.163060500861,17935.791110357244,18793.10101935994,19611.546780334447,23589.694280009342,26490.930436089,28982.67589583588,30521.779408792783,31635.34259791385
